,Title,Rating,Number of User Reviews,Year,Duration,Genres,Action,Adventure,Animation,Biography,Comedy,Crime,Documentary,Drama,Family,Fantasy,Film-Noir,History,Horror,Music,Musical,Mystery,News,Romance,Sci-Fi,Sport,Thriller,Unknown,War,Western,Cluster
0,Dekalog (1988),7.6,135.0,1996,572,['Drama'],0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
1,Casablanca,8.7,592.0,1943,102,"['Drama', 'Romance', 'War']",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,2
2,Rear Window,8.7,588.0,1954,112,"['Mystery', 'Thriller']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,6
3,Lawrence of Arabia (re-release),8.5,447.0,2002,216,"['Adventure', 'Biography', 'Drama', 'War']",0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5
4,The Conformist,7.2,113.0,1970,107,['Drama'],0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
5,The Godfather,9.3,3906.0,1972,175,"['Crime', 'Drama']",0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
6,Tokyo Story,8.5,135.0,1972,136,['Drama'],0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
7,The Leopard (re-release),7.8,91.0,2004,187,"['Drama', 'History']",0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5
8,Citizen Kane,8.3,887.0,1941,119,"['Drama', 'Mystery']",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5
9,Boyhood,7.6,2613.0,2014,165,['Drama'],0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
10,Three Colors: Red,8.3,259.0,1994,99,"['Drama', 'Mystery', 'Romance']",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,2
11,Vertigo,8.6,442.0,1958,128,"['Mystery', 'Romance', 'Thriller']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,6
12,Notorious,7.9,125.0,1946,101,"['Drama', 'Film-Noir', 'Romance', 'Thriller']",0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,2
13,Fanny and Alexander (re-release),8.3,129.0,2004,188,['Drama'],0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
14,Singin' in the Rain,8.7,293.0,1952,103,"['Comedy', 'Musical', 'Romance']",0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1
15,Playtime,7.7,30.0,1973,155,['Comedy'],0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
16,Touch of Evil,7.6,97.0,1958,95,"['Crime', 'Drama', 'Film-Noir', 'Thriller']",0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,4
17,Army of Shadows,7.6,73.0,2006,145,"['Drama', 'War']",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5
18,City Lights,8.8,197.0,1931,87,"['Comedy', 'Drama', 'Romance']",0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2
19,Moonlight,7.1,1916.0,2016,111,['Drama'],0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
20,Intolerance,6.7,52.0,1916,197,"['Drama', 'History']",0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5
21,The Rules of the Game,7.6,18.0,1950,110,"['Comedy', 'Drama']",0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
22,Pinocchio,8.2,304.0,1940,88,"['Animation', 'Adventure', 'Comedy', 'Family', 'Fantasy', 'Musical']",0,1,1,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,7
23,Seven Samurai,9.0,504.0,1956,207,"['Action', 'Drama']",1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
24,The Wild Bunch,7.7,64.0,1969,135,"['Action', 'Adventure', 'Drama', 'Western']",1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3
25,Au hasard Balthazar,7.1,123.0,1966,95,['Drama'],0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
26,The Lady Vanishes,8.1,37.0,1938,96,"['Mystery', 'Thriller']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,6
27,Pépé le Moko (re-release),5.9,24.0,2002,94,"['Crime', 'Drama', 'Romance']",0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2
28,The Treasure of the Sierra Madre,8.3,138.0,1948,126,"['Adventure', 'Drama', 'Western']",0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5
29,Pan's Labyrinth,8.7,1713.0,2006,118,"['Drama', 'Fantasy', 'War']",0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5
30,Some Like It Hot,8.3,237.0,1959,121,"['Comedy', 'Music', 'Romance']",0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1
31,North by Northwest,8.4,256.0,1959,136,"['Action', 'Adventure', 'Mystery', 'Thriller']",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,3
32,Hoop Dreams,7.9,100.0,1994,170,"['Documentary', 'Drama', 'Sport']",0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
33,Rashomon,8.4,122.0,1951,88,"['Crime', 'Drama', 'Mystery']",0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5
